,Unnamed: 0,age,workclass,education,marital.status,occupation,relationship,race,sex,hours.per.week,native.country,income
22278,22278,56,Private,9th,Widowed,Sales,Unmarried,White,Female,40,United-States,<=50K
8950,8950,19,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Female,25,United-States,<=50K
7838,7838,23,Private,Some-college,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,35,Vietnam,<=50K
16505,16505,37,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K
19140,19140,49,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K
12319,12319,50,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,>50K
28589,28589,59,?,10th,Widowed,?,Unmarried,White,Female,40,United-States,<=50K
10000,10000,43,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K
28530,28530,23,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K
24237,24237,62,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
12227,12227,60,Self-emp-not-inc,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K
821,821,36,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
25012,25012,66,Local-gov,HS-grad,Widowed,Transport-moving,Not-in-family,Black,Female,40,United-States,<=50K
24579,24579,30,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
29295,29295,45,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,48,United-States,>50K
4763,4763,17,Private,10th,Never-married,Other-service,Own-child,White,Female,21,United-States,<=50K
10371,10371,28,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K
6964,6964,38,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,United-States,>50K
9907,9907,40,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K
30594,30594,52,Private,Some-college,Divorced,Sales,Not-in-family,White,Male,50,United-States,<=50K
28635,28635,61,Private,10th,Divorced,Other-service,Not-in-family,White,Male,24,United-States,<=50K
28819,28819,47,Local-gov,Doctorate,Never-married,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K
26980,26980,51,Local-gov,Prof-school,Widowed,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
22148,22148,33,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Other,Female,19,United-States,<=50K
21840,21840,35,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,Philippines,>50K
15334,15334,24,Local-gov,HS-grad,Never-married,Protective-serv,Not-in-family,White,Male,40,United-States,<=50K
